emoji,count,tokens,mult
face with tears of joy,332059305,facexwithxtearsxofxjoy,multfacexwithxtearsxofxjoy
heavy black heart,171566133,heavyxblackxheart,multheavyxblackxheart
face throwing a kiss,122353058,facexthrowingxaxkiss,multfacexthrowingxaxkiss
smiling face with heart shaped eyes,87122195,smilingxfacexwithxheartxshapedxeyes,multsmilingxfacexwithxheartxshapedxeyes
rolling on the floor laughing,52003805,rollingxonxthexfloorxlaughing,multrollingxonxthexfloorxlaughing
loudly crying face,36265893,loudlyxcryingxface,multloudlyxcryingxface
thumbs up sign,33782921,thumbsxupxsign,multthumbsxupxsign
smiling face with smiling eyes,31525885,smilingxfacexwithxsmilingxeyes,multsmilingxfacexwithxsmilingxeyes
kiss mark,31244729,kissxmark,multkissxmark
beaming face with smiling eyes,26749778,beamingxfacexwithxsmilingxeyes,multbeamingxfacexwithxsmilingxeyes
white smiling face,22909409,whitexsmilingxface,multwhitexsmilingxface
winking face,21675216,winkingxface,multwinkingxface
see no evil monkey,21200277,seexnoxevilxmonkey,multseexnoxevilxmonkey
smiling face with open mouth and cold sweat,19308775,smilingxfacexwithxopenxmouthxandxcoldxsweat,multsmilingxfacexwithxopenxmouthxandxcoldxsweat
pensive face,18260428,pensivexface,multpensivexface
face with rolling eyes,17770958,facexwithxrollingxeyes,multfacexwithxrollingxeyes
person with folded hands,17209254,personxwithxfoldedxhands,multpersonxwithxfoldedxhands
face with stuck out tongue and winking eye,16889612,facexwithxstuckxoutxtonguexandxwinkingxeye,multfacexwithxstuckxoutxtonguexandxwinkingxeye
smirking face,15507229,smirkingxface,multsmirkingxface
weary face,14508228,wearyxface,multwearyxface
clapping hands sign,14355540,clappingxhandsxsign,multclappingxhandsxsign
flushed face,14276599,flushedxface,multflushedxface
two hearts,12871802,twoxhearts,multtwoxhearts
ok hand sign,11397296,okxhandxsign,multokxhandxsign
blue heart,9976427,bluexheart,multbluexheart
sparkling heart,9858098,sparklingxheart,multsparklingxheart
hugging face,9279724,huggingxface,multhuggingxface
thinking face,8982326,thinkingxface,multthinkingxface
ring,8525827,ring,multring
smiling face with smiling eyes and three hearts,8401118,smilingxfacexwithxsmilingxeyesxandxthreexhearts,multsmilingxfacexwithxsmilingxeyesxandxthreexhearts
purple heart,8204882,purplexheart,multpurplexheart
face savouring delicious food,8105994,facexsavouringxdeliciousxfood,multfacexsavouringxdeliciousxfood
unamused face,7948892,unamusedxface,multunamusedxface
relieved face,7563556,relievedxface,multrelievedxface
grinning face with smiling eyes,7398448,grinningxfacexwithxsmilingxeyes,multgrinningxfacexwithxsmilingxeyes
smiling face with open mouth and tightly closed eyes,7232809,smilingxfacexwithxopenxmouthxandxtightlyxclosedxeyes,multsmilingxfacexwithxopenxmouthxandxtightlyxclosedxeyes
pouting face,7012482,poutingxface,multpoutingxface
face screaming in fear,6972278,facexscreamingxinxfear,multfacexscreamingxinxfear
face palm,6955800,facexpalm,multfacexpalm
growing heart,6901741,growingxheart,multgrowingxheart
smiling face with smiling eyes and hand covering mouth,6579894,smilingxfacexwithxsmilingxeyesxandxhandxcoveringxmouth,multsmilingxfacexwithxsmilingxeyesxandxhandxcoveringxmouth
party popper,6524445,partyxpopper,multpartyxpopper
heart with arrow,6385904,heartxwithxarrow,multheartxwithxarrow
fire,6310250,fire,multfire
smiling face with sunglasses,6072716,smilingxfacexwithxsunglasses,multsmilingxfacexwithxsunglasses
revolving hearts,5959469,revolvingxhearts,multrevolvingxhearts
kissing face with closed eyes,5531113,kissingxfacexwithxclosedxeyes,multkissingxfacexwithxclosedxeyes
grinning face with one large and one small eye,5475173,grinningxfacexwithxonexlargexandxonexsmallxeye,multgrinningxfacexwithxonexlargexandxonexsmallxeye
crying face,5358714,cryingxface,multcryingxface
face with stuck out tongue and tightly closed eyes,5318862,facexwithxstuckxoutxtonguexandxtightlyxclosedxeyes,multfacexwithxstuckxoutxtonguexandxtightlyxclosedxeyes
broken heart,5141302,brokenxheart,multbrokenxheart
person raising both hands in celebration,5092739,personxraisingxbothxhandsxinxcelebration,multpersonxraisingxbothxhandsxinxcelebration
shrug,5077082,shrug,multshrug
flexed biceps,5019772,flexedxbiceps,multflexedxbiceps
yellow heart,4989194,yellowxheart,multyellowxheart
upside down face,4843581,upsidexdownxface,multupsidexdownxface
smiling face with open mouth,4722513,smilingxfacexwithxopenxmouth,multsmilingxfacexwithxopenxmouth
black heart suit,4706812,blackxheartxsuit,multblackxheartxsuit
smiling face with halo,4667543,smilingxfacexwithxhalo,multsmilingxfacexwithxhalo
reversed hand with middle finger extended,4619816,reversedxhandxwithxmiddlexfingerxextended,multreversedxhandxwithxmiddlexfingerxextended
rose,4448090,rose,multrose
slightly smiling face,4144886,slightlyxsmilingxface,multslightlyxsmilingxface
sleeping face,3886737,sleepingxface,multsleepingxface
heavy heart exclamation mark ornament,3865390,heavyxheartxexclamationxmarkxornament,multheavyxheartxexclamationxmarkxornament
drooling face,3834642,droolingxface,multdroolingxface
green heart,3825413,greenxheart,multgreenxheart
grimacing face,3812782,grimacingxface,multgrimacingxface
black heart,3685672,blackxheart,multblackxheart
eyes,3679584,eyes,multeyes
speak no evil monkey,3528146,speakxnoxevilxmonkey,multspeakxnoxevilxmonkey
grinning face,3436412,grinningxface,multgrinningxface
white frowning face,3363535,whitexfrowningxface,multwhitexfrowningxface
disappointed face,3357247,disappointedxface,multdisappointedxface
victory hand,3242651,victoryxhand,multvictoryxhand
tired face,3207009,tiredxface,multtiredxface
smiling face with horns,3144243,smilingxfacexwithxhorns,multsmilingxfacexwithxhorns
